Country,FOG,RAIN,SNOW,HAIL,THUNDER,TORNADO,Streams
ar,0,0,0,0,1,0,23355128
ar,0,0,0,0,0,0,1090375592
ar,1,1,0,0,0,0,4583266
ar,0,1,0,0,0,0,365140069
ar,0,1,0,0,1,0,110175483
ar,1,0,0,0,0,0,4032633
at,0,1,0,0,0,0,70004295
at,0,0,1,0,0,0,1326870
at,0,1,1,0,0,0,2757518
at,0,0,0,0,0,0,109272973
au,0,1,0,0,0,0,481123567
au,0,0,0,0,0,0,1363292550
be,0,1,1,1,0,0,4657778
be,0,0,1,0,0,0,1585685
be,1,1,0,0,0,0,6393868
be,1,0,1,0,0,0,659396
be,0,1,1,0,0,0,8377665
be,0,0,0,0,0,0,102423996
be,0,0,0,0,1,0,1846052
be,1,1,1,0,0,0,3312982
be,0,1,0,0,1,0,11615749
be,0,1,0,0,0,0,148522920
be,0,1,0,1,0,0,868151
be,1,0,0,0,0,0,9318946
bo,1,1,0,0,1,0,127496
bo,1,1,0,0,0,0,574016
bo,0,0,0,0,1,0,3091213
bo,0,0,0,0,0,0,49918921
bo,0,1,0,0,1,0,6209823
bo,0,1,0,0,0,0,5562301
bo,1,0,0,0,0,0,1208403
br,0,0,0,0,0,0,3246489403
ca,0,0,0,0,0,0,623462297
ca,0,0,0,0,1,0,8594917
ca,1,1,0,0,1,0,13855886
ca,1,1,0,0,0,0,41740403
ca,0,1,0,0,1,0,117083787
ca,0,1,0,0,0,0,464715877
ca,0,0,1,0,0,0,183682587
ca,1,0,0,0,0,0,22031258
ca,0,1,1,0,0,0,103578430
ch,0,1,0,0,0,0,84537527
ch,0,1,0,0,1,0,12813668
ch,1,0,0,0,0,0,18398610
ch,0,0,0,0,1,0,788934
ch,0,0,0,0,0,0,87387331
ch,1,1,1,0,0,0,516594
ch,0,1,1,0,0,0,17385296
ch,1,0,1,0,0,0,695590
ch,1,1,0,0,1,0,2064070
ch,1,1,0,0,0,0,13600998
ch,0,0,1,0,0,0,11958916
cl,0,0,0,0,0,0,1021478507
cl,1,1,0,0,0,0,22815590
cl,1,0,0,0,0,0,86454851
cl,0,1,0,0,0,0,106374441
co,1,1,0,1,1,0,1302318
co,0,1,0,0,0,0,145433076
co,0,1,0,0,1,0,38982806
co,1,1,0,0,1,0,38924772
co,1,1,0,0,0,0,29827230
co,0,1,0,1,1,0,2841632
co,1,0,0,0,1,0,3873875
co,1,0,0,0,0,0,32088411
co,0,0,0,0,0,0,173141051
co,0,0,0,0,1,0,3884377
cr,0,1,0,0,0,0,41025368
cr,0,1,0,0,1,0,19570949
cr,1,0,0,0,0,0,8896994
cr,0,1,0,1,1,0,522546
cr,0,0,0,0,0,0,70377532
cr,1,1,0,0,0,0,23800317
cr,1,1,0,0,1,0,19742563
cz,1,1,1,0,0,0,253820
cz,0,1,1,0,0,0,4747896
cz,0,0,0,0,0,0,48632113
cz,0,0,1,0,0,0,3257680
cz,0,1,0,0,1,0,4999446
cz,0,1,0,0,0,0,40068465
cz,0,1,0,1,0,0,513462
cz,1,0,0,0,0,0,1583449
cz,1,0,1,0,0,0,955569
cz,1,1,0,0,0,0,3026694
de,1,1,1,0,0,0,26113573
de,0,0,0,0,0,0,1148819929
de,1,0,0,0,0,0,85065085
de,0,0,1,0,0,0,70045357
de,0,1,0,0,0,0,1438008420
de,0,1,0,0,1,0,141884522
de,1,1,0,0,0,0,102102358
de,1,1,0,0,1,0,27453547
de,0,1,1,0,0,0,113703577
de,1,0,1,0,0,0,22580142
de,0,1,1,1,1,0,7123472
dk,0,0,0,0,0,0,186763690
dk,1,1,1,0,0,0,8304089
dk,1,0,0,0,0,0,79085325
dk,1,1,0,0,0,0,100664808
dk,0,0,1,0,0,0,11484065
dk,0,1,0,0,0,0,358911943
dk,0,1,0,0,1,0,9898341
dk,0,1,1,0,0,0,48213731
dk,1,0,1,0,0,0,4469012
dk,0,1,1,1,0,0,2345896
do,0,0,0,0,0,0,44150460
do,0,0,0,0,1,0,7061809
do,0,1,0,0,0,0,23164097
do,0,1,0,0,1,0,14739833
ec,0,0,0,0,0,0,115538743
ec,0,0,0,0,1,0,381548
ec,0,1,0,0,1,0,22850615
ec,0,1,0,0,0,0,35085587
ec,0,1,0,1,1,0,397022
ee,1,1,1,0,0,0,784377
ee,0,0,0,0,0,0,6071287
ee,1,0,1,0,0,0,224887
ee,1,1,1,1,0,0,75108
ee,0,1,1,0,0,0,3335779
ee,0,1,1,1,0,0,156413
ee,1,1,0,0,0,0,553766
ee,0,0,1,0,0,0,2013604
ee,0,1,0,0,1,0,317033
ee,0,1,0,0,0,0,6135927
ee,0,1,0,1,0,0,69535
ee,1,0,0,0,0,0,941470
es,1,1,0,0,0,0,17838684
es,0,1,1,0,0,0,6356384
es,0,1,0,0,1,0,81510264
es,0,1,0,0,0,0,276825072
es,0,0,0,0,1,0,5824843
es,0,0,0,0,0,0,1722901603
es,0,1,0,1,1,0,5628234
es,1,0,0,0,0,0,32873371
fi,1,1,1,0,0,0,7904422
fi,0,0,0,0,0,0,198457016
fi,1,0,0,0,0,0,37023902
fi,0,1,0,0,0,0,306420724
fi,0,0,1,0,0,0,15112456
fi,1,1,0,0,0,0,35462214
fi,0,1,1,0,0,0,76554977
fr,0,1,1,0,0,0,9884319
fr,0,0,0,0,0,0,787918341
fr,0,1,0,0,0,0,653815336
fr,1,0,0,0,0,0,16185089
fr,1,1,0,0,0,0,2858877
fr,0,0,1,0,0,0,8278815
gb,0,1,1,0,0,0,72503870
gb,1,1,0,0,0,0,123292767
gb,0,1,0,0,1,0,20756939
gb,0,1,0,0,0,0,2353229918
gb,1,0,0,0,0,0,129958132
gb,0,0,0,0,0,0,1242737684
gr,0,1,1,0,0,0,109582
gr,0,0,1,0,0,0,211741
gr,1,0,0,0,0,0,927699
gr,0,1,0,0,0,0,7656820
gr,0,1,0,0,1,0,3491118
gr,0,0,0,0,0,0,34569564
gr,0,0,0,0,1,0,116856
gt,0,1,0,0,0,0,29608236
gt,0,1,0,0,1,0,6856923
gt,1,0,0,0,0,0,6350783
gt,1,1,0,0,0,0,1306112
gt,1,1,0,0,1,0,1546283
gt,0,0,0,0,0,0,44361979
gt,0,0,0,0,1,0,4516542
hk,0,1,0,0,0,0,47155834
hk,0,1,0,0,1,0,16333490
hk,0,0,0,0,0,0,71825882
hk,1,0,0,0,0,0,447780
hn,1,0,0,0,1,0,1350884
hn,1,0,0,0,0,0,3904178
hn,0,1,0,0,0,0,6831499
hn,0,1,0,0,1,1,152421
hn,0,1,0,0,1,0,8648238
hn,0,0,0,0,0,0,30932280
hn,0,0,0,0,1,0,5383481
hn,0,0,0,0,1,1,194217
hn,0,1,0,1,1,0,194819
hn,1,1,0,0,0,0,317580
hn,1,1,0,0,1,0,1810924
hu,0,1,1,0,0,0,2329438
hu,1,0,1,0,0,0,141738
hu,1,1,0,0,0,0,1536913
hu,0,0,0,0,0,0,46120215
hu,0,0,0,0,1,0,1057091
hu,0,0,1,0,0,0,2172525
hu,0,1,0,0,0,0,22808279
hu,0,1,0,0,1,0,6999180
hu,1,0,0,0,0,0,5024865
hu,0,1,0,1,1,0,267586
hu,0,1,0,1,0,0,280336
id,1,1,0,0,1,0,8754871
id,1,1,0,0,0,0,14436487
id,0,1,1,0,0,0,1739969
id,0,0,0,0,0,0,318461874
id,0,0,0,0,1,0,22299289
id,0,1,0,0,0,0,276313557
id,0,1,0,0,1,0,61388819
id,1,0,0,0,1,0,3083777
id,1,0,0,0,0,0,4522178
ie,0,1,1,0,0,0,9647236
ie,0,1,1,1,0,0,1831272
ie,1,1,0,0,0,0,16404682
ie,1,1,0,0,1,0,993380
ie,0,1,0,0,0,0,266266414
ie,1,0,0,0,0,0,4360908
ie,0,1,0,0,1,0,3974327
ie,0,1,0,1,0,0,903004
ie,0,0,0,0,0,0,66888407
is,0,0,1,0,0,0,3964545
is,1,0,0,0,0,0,927363
is,0,1,1,1,0,0,392723
is,1,1,0,0,0,0,1672233
is,0,1,0,0,0,0,28421602
is,0,0,0,0,0,0,14655847
is,0,1,1,0,1,0,357693
is,0,1,1,0,0,0,5927301
is,1,1,1,0,0,0,148553
it,1,1,0,0,0,0,25472339
it,1,1,0,0,1,0,8499111
it,0,1,0,1,1,0,6789746
it,0,0,0,0,0,0,797297397
it,0,0,0,0,1,0,13864404
it,1,0,0,0,0,0,104247953
it,0,1,0,0,0,0,231206730
it,0,1,0,0,1,0,56737574
jp,0,0,0,0,1,0,333792
jp,0,0,0,0,0,0,75193016
jp,0,1,0,0,1,0,3364197
jp,0,1,0,0,0,0,69394606
jp,0,0,1,0,0,0,574981
jp,0,1,1,0,0,0,768894
lt,0,0,0,0,0,0,7972806
lt,0,0,0,0,1,0,91064
lt,1,1,1,0,0,0,459472
lt,1,1,0,0,0,0,3159329
lt,0,1,1,0,0,0,2361703
lt,1,0,1,0,0,0,486453
lt,0,1,0,0,0,0,10264678
lt,1,0,0,0,0,0,1034405
lt,0,0,1,0,0,0,1107526
lt,0,1,0,0,1,0,998012
lu,1,0,0,0,0,0,163546
lu,0,1,0,1,0,0,26597
lu,0,0,0,0,0,0,2830426
lu,0,0,0,0,1,0,53831
lu,0,0,1,0,0,0,42590
lu,0,1,0,0,0,0,1710103
lu,0,1,0,0,1,0,432592
lu,0,1,1,0,1,0,7954
lu,0,1,1,0,0,0,189925
lu,1,0,1,0,0,0,17540
lu,1,1,0,0,0,0,329027
lu,1,1,0,0,1,0,57865
lu,0,1,1,1,0,0,26336
lu,1,1,1,0,1,0,17882
lu,1,1,1,0,0,0,72128
lv,0,0,1,0,0,0,1543468
lv,1,1,0,0,0,0,2204814
lv,1,0,1,0,0,0,256982
lv,0,1,1,0,0,0,3427887
lv,0,1,1,0,1,0,176691
lv,1,1,1,1,0,0,90876
lv,1,1,1,0,0,0,283562
lv,0,0,0,0,0,0,9126787
lv,0,1,0,1,0,0,90177
lv,1,0,0,0,0,0,1000509
lv,0,1,0,0,0,0,11608764
lv,0,1,0,0,1,0,544122
mx,0,0,0,0,1,0,18090594
mx,0,0,0,0,0,0,2754619309
mx,0,1,0,0,1,0,211575243
mx,0,1,0,0,0,0,306868969
mx,1,1,0,0,0,0,9503388
my,0,1,0,0,1,0,173100602
my,0,1,0,0,0,0,49149710
my,0,0,0,0,0,0,75978740
my,0,0,0,0,1,0,42688700
nl,0,1,1,0,0,0,56348391
nl,1,1,1,0,0,0,11176004
nl,0,0,0,0,0,0,383078179
nl,0,1,0,0,0,0,865625518
nl,0,1,0,0,1,0,72442845
nl,1,0,0,0,0,0,194953004
nl,0,0,1,0,0,0,9182008
nl,1,1,0,0,0,0,223011109
nl,1,1,0,0,1,0,43770786
nl,1,0,1,0,0,0,14470499
no,0,0,1,0,0,0,34832562
no,1,0,0,0,0,0,43273026
no,0,1,0,0,1,0,3389179
no,0,1,0,0,0,0,433594394
no,1,1,0,0,0,0,56582094
no,0,1,1,0,0,0,128994698
no,1,0,1,0,0,0,19759992
no,1,1,1,0,0,0,51076708
no,0,1,0,1,0,0,2958880
no,0,0,0,0,0,0,372124446
nz,1,1,0,0,0,0,19062554
nz,1,1,0,1,1,0,1140702
nz,1,0,0,0,0,0,9102544
nz,0,1,0,0,1,0,6142114
nz,0,1,0,0,0,0,243464879
nz,0,1,0,1,1,0,3493346
nz,0,0,0,0,0,0,151228529
pa,0,0,0,0,1,0,4875110
pa,0,0,0,0,0,0,33582509
pa,1,1,0,0,1,0,229288
pa,0,1,0,0,1,0,25175248
pa,0,1,0,0,0,0,15971478
pe,0,0,0,0,0,0,523331245
pe,1,0,0,0,0,0,3342077
pe,0,1,0,0,0,0,64790978
ph,0,1,0,0,1,0,113819759
ph,0,1,0,0,0,0,566978713
ph,0,0,0,0,1,0,45535398
ph,0,0,0,0,0,0,1033972925
pl,0,0,0,0,0,0,130888681
pl,0,0,1,0,0,0,29468132
pl,1,0,0,0,0,0,16978731
pl,0,1,0,0,0,0,166034263
pl,0,1,0,0,1,0,19140832
pl,1,1,0,0,0,0,11179363
pl,0,1,1,0,0,0,21246849
pl,1,1,0,0,1,0,2211048
pl,1,0,1,0,0,0,2270130
pl,1,1,1,0,0,0,1031730
pt,1,1,0,0,1,0,662844
pt,1,1,0,0,0,0,4029500
pt,0,1,0,0,1,0,6118633
pt,0,1,0,0,0,0,47622570
pt,1,0,0,0,0,0,15162755
pt,0,0,0,0,0,0,166656276
py,0,0,0,0,0,0,64945912
py,0,0,0,0,1,0,4386732
py,0,1,0,1,1,0,367182
py,1,0,0,0,0,0,1135600
py,0,1,0,0,1,0,23647412
py,1,1,0,0,1,0,504048
py,1,1,0,0,0,0,510525
py,0,1,0,0,0,0,11090801
se,0,0,0,0,0,0,1942768996
sg,0,0,0,0,0,0,116662577
sg,0,0,0,0,1,0,19881080
sg,0,1,0,0,0,0,106849918
sg,0,1,0,0,0,1,1257614
sg,0,1,0,0,1,0,163962594
sg,0,1,0,0,1,1,1106708
sk,0,0,1,0,0,0,958703
sk,1,0,1,0,0,0,409805
sk,0,1,1,0,0,0,568390
sk,0,0,0,0,1,0,326869
sk,0,0,0,0,0,0,27907217
sk,1,1,0,0,0,0,462285
sk,0,1,0,1,0,0,222452
sk,1,0,0,0,0,0,960223
sk,0,1,0,0,1,0,656056
sk,0,1,0,0,0,0,3838541
sv,1,1,0,0,0,0,143850
sv,0,1,0,0,1,0,11111506
sv,0,1,0,0,0,0,7166181
sv,0,0,0,0,1,0,601846
sv,0,0,0,0,0,0,34460760
tr,0,0,0,0,1,0,7406442
tr,0,0,0,0,0,0,290111022
tr,0,0,1,0,0,0,3911930
tr,0,1,0,0,1,0,19749147
tr,0,1,0,0,0,0,131169930
tr,1,0,0,0,0,0,3198663
tr,0,1,1,0,0,0,9508541
tw,1,1,0,0,0,0,710429
tw,0,1,0,0,1,0,7034000
tw,0,1,0,0,0,0,102308983
tw,1,0,0,0,0,0,2720900
tw,0,0,0,0,0,0,111342220
us,0,1,0,0,0,0,1198718632
us,0,1,0,0,1,0,66948503
us,1,0,0,0,0,0,1445475074
us,0,0,0,0,0,0,9713269860
us,1,1,0,0,0,0,202105789
uy,1,1,0,0,1,0,2000479
uy,1,1,0,0,0,0,2550319
uy,0,1,0,0,1,0,11081907
uy,0,1,0,0,0,0,22180396
uy,1,0,0,0,0,0,8026168
uy,0,0,0,0,0,0,63801590
uy,0,0,0,0,1,0,1519954
