STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,Country
40300,99999,20170101,33.6,24,27.3,24,1038.9,8,9999.9,0,8.7,24,7,24,15,999.9,   39.2*,  21.2*,99.99,2.4,10000,is
40300,99999,20170102,39.3,24,37.2,24,1026,7,9999.9,0,4,24,12.7,24,19,999.9,41.7,36,99.99,999.9,10000,is
40300,99999,20170103,35.7,24,27.7,24,1022.3,8,9999.9,0,12.4,18,8.3,24,19,999.9,41.2,  30.2*, 0.00I,999.9,0,is
40300,99999,20170104,37.2,24,30,24,1023.3,8,9999.9,0,9.7,24,9.9,24,14,999.9,   41.0*,29.7,99.99,999.9,10000,is
40300,99999,20170105,37.2,24,31.7,24,998,7,9999.9,0,4.5,24,24.4,24,35,53,46.8,28,99.99,999.9,11000,is
40300,99999,20170106,35.4,24,27.5,24,1009.1,7,9999.9,0,6.9,24,15.2,24,29.9,40,   41.0*,29.3,99.99,999.9,11000,is
40300,99999,20170107,38.5,24,33.9,24,1006.2,7,9999.9,0,7.6,24,11.9,24,26,41,42.8,  33.8*,99.99,999.9,11000,is
40300,99999,20170108,37.7,24,31.4,24,1001.1,8,9999.9,0,9.4,24,13.9,24,27,33,   41.0*,32.9,99.99,999.9,10000,is
40300,99999,20170109,37.2,24,29.3,24,990.3,7,9999.9,0,13.2,20,8.7,24,21,32.1,43.3,32,99.99,999.9,10000,is
40300,99999,20170110,31.4,24,26.6,24,988.9,8,9999.9,0,12.7,20,6.1,24,14,999.9,   35.6*,28.2,99.99,0.4,11000,is
40300,99999,20170111,24.3,24,14.8,24,995.3,8,9999.9,0,24.1,13,3.9,24,14,999.9,30.6,20.5, 0.00I,0.4,0,is
40300,99999,20170112,20.7,24,8.1,24,1007.1,8,9999.9,0,21.7,14,7,24,13,999.9,25,  17.6*, 0.00I,0.4,0,is
40300,99999,20170113,23.8,24,14.9,24,1012.6,8,9999.9,0,12.3,22,5.2,24,9.9,999.9,26.8,19.8,99.99,0.4,1000,is
40300,99999,20170114,32.6,24,26.9,24,1004.4,8,9999.9,0,10,24,10.1,24,19,25.1,   39.2*,21.6,99.99,0.4,11000,is
40300,99999,20170115,41.8,24,37.2,24,998.6,8,9999.9,0,8.3,22,14.5,24,24.1,36.9,46.8,  35.6*,99.99,999.9,10000,is
40300,99999,20170116,32.7,24,27.4,24,1005.6,8,9999.9,0,7.4,24,17.7,24,28.9,39,39.9,29.5,99.99,0.4,11100,is
40300,99999,20170117,32.2,24,25.9,24,1008.5,8,9999.9,0,9.4,24,10.2,24,26,36.9,34.3,29.5,99.99,2.4,1000,is
40300,99999,20170118,30.1,22,24.6,22,1009.6,7,9999.9,0,6.4,21,12.6,22,27,36.9,32.2,  26.6*,99.99,999.9,1000,is
40300,99999,20170119,30.4,24,24,24,1013.6,8,9999.9,0,7.8,22,8,24,14,999.9,   41.4*,23.4,99.99,2.4,11000,is
40300,99999,20170120,42.7,24,38,24,1006.6,8,9999.9,0,6.4,24,15.1,24,26,38.1,46.6,37.6,99.99,999.9,10000,is
40300,99999,20170121,38.6,24,33.3,24,1002.1,8,9999.9,0,7.1,24,15.2,24,27,38.1,42.1,35.4,99.99,999.9,110000,is
40300,99999,20170122,36.8,24,31.9,24,1012,8,9999.9,0,10.4,24,7.3,24,15,999.9,   39.2*,33.8,99.99,999.9,10000,is
40300,99999,20170123,42.6,24,38.5,24,993,8,9999.9,0,6.6,24,14.4,24,25.1,39,45.3,37.4,99.99,999.9,10000,is
40300,99999,20170124,40.3,24,36.1,24,979,8,9999.9,0,7.4,24,10.3,24,17.1,26,44.8,  37.4*,99.99,999.9,10000,is
40300,99999,20170125,37,24,32.7,24,984.5,8,9999.9,0,10.7,24,7.5,24,15,19,   39.2*,35.2,99.99,999.9,10000,is
40300,99999,20170126,31.4,24,27.5,24,987.1,8,9999.9,0,11.7,20,7.1,24,14,999.9,36.9,27.3,99.99,3.5,11000,is
40300,99999,20170127,33.5,24,29.5,24,991.4,7,9999.9,0,11,21,10.7,24,19,999.9,36.7,  26.6*,99.99,3.1,11000,is
40300,99999,20170128,30.1,24,22.7,24,998.8,7,9999.9,0,17.3,14,7.1,24,19,999.9,36.7,  23.0*, 0.00I,2.8,0,is
40300,99999,20170129,29.7,24,18.9,24,1004,8,9999.9,0,13.4,20,9.4,24,18.1,999.9,33.8,21.9, 0.00I,2.8,0,is
40300,99999,20170130,38.1,24,28.8,24,992.6,7,9999.9,0,10,24,15.5,24,22,34,   44.6*,32.5,99.99,2.4,10000,is
40300,99999,20170131,42.4,24,35.7,24,980.6,8,9999.9,0,9,24,13.9,24,27,41,   46.4*,  35.6*,99.99,999.9,10000,is
40300,99999,20170201,35.2,24,30.1,24,986.4,8,9999.9,0,11.5,22,5.5,24,9.9,999.9,41,  30.2*,99.99,999.9,11000,is
40300,99999,20170202,34.5,24,29.9,24,978.7,8,9999.9,0,13,22,6.1,24,9.9,999.9,38.7,30.9,99.99,999.9,11000,is
40300,99999,20170203,39.1,24,33.2,24,967.8,7,9999.9,0,11.9,20,6.3,24,13,22.9,46.6,  30.2*,99.99,0.4,11000,is
40300,99999,20170204,40.2,24,33.6,24,977.2,8,9999.9,0,11,24,11.7,24,19,999.9,45.7,37,99.99,999.9,10000,is
40300,99999,20170205,36.3,24,32.1,24,985.3,8,9999.9,0,10.8,24,5.3,24,9.9,999.9,41.2,32.9,99.99,999.9,10000,is
40300,99999,20170206,38.5,24,31.6,24,988.2,8,9999.9,0,9.1,24,14.1,24,28,40,   42.8*,32.7,99.99,0.4,11000,is
40300,99999,20170207,40.8,24,33.6,24,983.5,8,9999.9,0,6,24,19.8,24,27,40,42.8,37.2,99.99,999.9,10000,is
40300,99999,20170208,42.4,24,36.3,24,993.7,7,9999.9,0,4.7,24,24.6,24,38.1,53,46.2,34.2,99.99,999.9,11010,is
40300,99999,20170209,38.7,24,31.5,24,1008.8,7,9999.9,0,10,24,9,24,17.1,27,41.7,33.4,99.99,999.9,10000,is
40300,99999,20170210,37.3,24,32.5,24,1023,7,9999.9,0,9.1,24,7.9,24,12,19,40.6,35.2,99.99,999.9,10000,is
40300,99999,20170211,42,24,37.6,24,1027.5,8,9999.9,0,6,24,12.9,24,22.9,999.9,   44.6*,37.4,99.99,999.9,10000,is
40300,99999,20170212,42.3,24,39.2,24,9999.9,0,9999.9,0,5,24,10.5,24,14,999.9,   42.8*,  41.0*,99.99,999.9,10000,is
40300,99999,20170213,42.4,24,38.4,24,1023.8,7,9999.9,0,8.2,24,7.5,24,12,999.9,46.8,  41.0*,99.99,999.9,10000,is
40300,99999,20170214,41.4,24,37.9,24,1015,8,9999.9,0,7.4,24,6.7,24,14,999.9,45.9,38.3,99.99,999.9,10000,is
40300,99999,20170215,39.9,24,37.9,24,1010.1,8,9999.9,0,11.9,22,2.2,24,7,999.9,42.1,  35.6*,99.99,999.9,10000,is
40300,99999,20170216,37.4,24,33.5,24,1012.2,8,9999.9,0,15.7,22,2.9,24,8,999.9,41.7,  30.2*, 0.00I,999.9,0,is
40300,99999,20170217,43.3,24,38.3,24,1005.1,8,9999.9,0,12.9,24,10.2,24,15.9,999.9,   45.0*,39.6,99.99,999.9,10000,is
40300,99999,20170218,39.8,24,38.5,24,9999.9,0,9999.9,0,3.1,24,5.3,24,8,999.9,   44.6*,  37.4*,99.99,999.9,110000,is
40300,99999,20170219,39.6,24,38.1,24,997.4,6,9999.9,0,4.7,24,4.2,24,8,999.9,43.3,  35.6*,99.99,999.9,110000,is
40300,99999,20170220,37.7,24,32.8,24,993.7,8,9999.9,0,9,24,12.9,24,24.1,999.9,41.2,  33.8*,99.99,999.9,11000,is
40300,99999,20170221,34.1,24,28.5,24,982.6,8,9999.9,0,9.4,24,12.7,24,25.1,29.9,37.2,32,99.99,0.4,11000,is
40300,99999,20170222,31,24,26.4,24,989.3,7,9999.9,0,9.4,24,6.4,24,12,999.9,34.9,24.4,99.99,999.9,11000,is
40300,99999,20170223,29.2,24,26.7,24,993.6,8,9999.9,0,8.4,24,5.7,24,9.9,999.9,33.3,  26.6*,99.99,4.3,1000,is
40300,99999,20170224,34.4,24,31.5,24,977.9,8,9999.9,0,4.5,24,18.2,24,33,49.9,   41.0*,26.2,99.99,5.5,11000,is
40300,99999,20170225,33.1,24,28.1,24,965.8,6,9999.9,0,5.3,24,16,24,32.1,39,41.9,  28.4*,99.99,1.2,11000,is
40300,99999,20170226,27.8,24,25.7,24,974.2,6,9999.9,0,8.3,22,7.2,24,18.1,999.9,33.8,  19.4*,99.99,20.1,1000,is
40300,99999,20170227,27.3,24,19.1,24,996.6,7,9999.9,0,34.2,8,3.7,24,12,999.9,39.9,  21.2*, 0.00I,18.5,0,is
40300,99999,20170228,29.4,24,18.1,24,1004.6,8,9999.9,0,23.7,14,5.7,24,12,999.9,34.5,21.6, 0.00I,16.9,0,is
40300,99999,20170301,29.1,24,18,24,1001.2,7,9999.9,0,13.9,21,6.1,24,12,999.9,   33.8*,  21.2*, 0.00I,14.2,0,is
40300,99999,20170302,28.2,24,16.6,24,1005.7,7,9999.9,0,24.2,9,6.8,24,9.9,999.9,34.2,20.7, 0.00I,13,0,is
40300,99999,20170303,27.9,24,15,24,1010.4,7,9999.9,0,32.6,8,4.3,24,8.9,999.9,35.4,20.3, 0.00I,12.2,0,is
40300,99999,20170304,28,24,15,24,1005,8,9999.9,0,29.4,11,7.6,24,15,999.9,36,  17.6*, 0.00I,11.4,0,is
40300,99999,20170305,33.6,24,17.7,24,999.9,8,9999.9,0,38.8,8,7.1,24,15,999.9,41.5,29.5, 0.00I,10.6,0,is
40300,99999,20170306,34.3,24,28.9,24,994.5,8,9999.9,0,11.5,23,2.2,24,5.1,999.9,41.9,  28.4*,99.99,10.2,11000,is
40300,99999,20170307,37.6,24,33.9,24,991.1,8,9999.9,0,10.9,24,2.9,24,6,999.9,44.2,35.6,99.99,8.3,10000,is
40300,99999,20170308,36.9,24,30.6,24,992,6,9999.9,0,10.5,23,5.3,24,8.9,999.9,   40.1*,  33.8*,99.99,999.9,10000,is
40300,99999,20170309,35.7,24,29.1,24,1008.1,8,9999.9,0,11,24,4.2,24,11.1,999.9,38.7,33.4,99.99,5.1,10000,is
40300,99999,20170310,37,24,24.6,24,1007.2,8,9999.9,0,20.7,12,14.2,24,24.1,35.9,   41.0*,32,99.99,5.1,10000,is
40300,99999,20170311,40.2,24,31.1,24,992.1,7,9999.9,0,12.3,22,11.1,24,22.9,31.1,   42.8*,  35.6*,99.99,2,10000,is
40300,99999,20170312,39.1,24,32.7,24,995.7,8,9999.9,0,13.6,24,6,24,12,999.9,45.1,33.8,99.99,999.9,10000,is
40300,99999,20170313,37.5,24,32.1,24,990.2,8,9999.9,0,10.3,24,8.9,24,19,28.9,41.5,35.2,99.99,999.9,10000,is
40300,99999,20170314,37.3,24,30,24,989.6,8,9999.9,0,8.9,24,15.1,24,22.9,39,41.7,  32.0*,99.99,999.9,11000,is
40300,99999,20170315,34.8,24,28.8,24,1002,8,9999.9,0,8.5,24,9.1,24,26,999.9,39.7,30.6,99.99,999.9,11000,is
40300,99999,20170316,33,24,25.8,24,994.5,7,9999.9,0,11.6,19,5.6,24,9.9,999.9,38.8,  28.4*,99.99,999.9,1000,is
40300,99999,20170317,28.4,24,16.8,24,1000.1,8,9999.9,0,20.5,17,5.2,24,8.9,999.9,35.6,21.7, 0.00I,999.9,0,is
40300,99999,20170318,32.5,24,28.1,24,988,8,9999.9,0,6.3,24,8.4,24,17.1,999.9,   37.4*,29.1,99.99,0.4,1000,is
40300,99999,20170319,31.2,24,21.6,24,984.4,8,9999.9,0,13.7,20,7.4,24,20,999.9,34.9,27.5, 0.00I,1.6,0,is
40300,99999,20170320,33.7,24,21.6,24,985.6,8,9999.9,0,15.2,18,9.7,24,21,38.1,38.7,27.1,99.99,1.2,11000,is
40300,99999,20170321,33.3,24,21.9,24,999.2,6,9999.9,0,10.9,20,6.3,24,11.1,999.9,37.9,28.8,99.99,0.4,1000,is
40300,99999,20170322,31.9,24,22.9,24,1017.1,7,9999.9,0,15.3,21,7.2,24,15.9,999.9,   35.6*,  29.5*,99.99,1.2,1000,is
40300,99999,20170323,36.8,24,32,24,1007,7,9999.9,0,6.5,24,18.1,24,35.9,48,   44.6*,28.9,99.99,999.9,11000,is
40300,99999,20170324,40.7,24,33.9,24,1006.1,8,9999.9,0,5.2,24,20.3,24,34,48,   45.0*,32,99.99,999.9,11000,is
40300,99999,20170325,41.3,24,32.6,24,1005.2,8,9999.9,0,6.7,24,17.7,24,28.9,40,   46.4*,  37.4*,99.99,999.9,10000,is
40300,99999,20170326,37.9,24,32.6,24,1012.8,8,9999.9,0,8.7,23,9.3,24,21,999.9,47.1,33.6,99.99,999.9,10000,is
40300,99999,20170327,36.6,24,26.1,24,1026.3,8,9999.9,0,21.5,12,4.2,24,13,999.9,42.8,  30.2*, 0.00I,999.9,0,is
40300,99999,20170328,39.8,24,29.2,24,1023.5,8,9999.9,0,16.8,20,6.1,24,13,999.9,43.5,  33.8*,99.99,999.9,10000,is
40300,99999,20170329,39.8,24,27.8,24,1015.8,8,9999.9,0,17.7,16,8.2,24,15,999.9,43.3,37.4, 0.00I,999.9,0,is
40300,99999,20170330,40.8,24,27.3,24,1001.4,8,9999.9,0,29.4,11,4.7,24,8,999.9,48.2,32, 0.00I,999.9,0,is
40300,99999,20170331,38.2,24,31.4,24,996.8,8,9999.9,0,27.1,14,4.9,24,14,999.9,47.7,31.8, 0.00I,999.9,0,is
40300,99999,20170401,39.2,24,32,24,1001.3,8,9999.9,0,10.9,24,6.3,24,17.1,999.9,43.9,36.9,99.99,999.9,10000,is
40300,99999,20170402,41.5,24,37,24,990.8,8,9999.9,0,7.2,24,14.3,24,24.1,35.9,   48.2*,33.1,99.99,999.9,10000,is
40300,99999,20170403,38.5,24,35,24,983.4,6,9999.9,0,5.3,24,11.1,24,20,999.9,   46.4*,31.3,99.99,999.9,111000,is
40300,99999,20170404,32.9,23,25.6,23,997.9,8,9999.9,0,9.6,23,9.7,23,26,999.9,37,  29.8*,99.99,0.8,11000,is
40300,99999,20170405,35.2,24,29,24,1013.8,7,9999.9,0,8.2,20,10.2,24,22.9,999.9,   45.3*,25.5,99.99,2.4,11000,is
40300,99999,20170406,42,24,38.8,24,1007.1,8,9999.9,0,5,24,10,24,15.9,999.9,45.7,  39.2*,99.99,999.9,10000,is
40300,99999,20170407,45,24,40.6,24,995.5,8,9999.9,0,6.8,24,13.6,24,20,29.9,   48.2*,  41.0*,99.99,999.9,10000,is
40300,99999,20170408,41.1,24,34.3,24,994.4,8,9999.9,0,8.6,24,9.9,24,21,33,45.7,  35.6*,99.99,999.9,10000,is
40300,99999,20170409,34,24,21.6,24,1015.1,8,9999.9,0,14.4,22,10.4,24,21,999.9,41.2,  30.2*,99.99,999.9,1000,is
40300,99999,20170410,32.4,24,21.7,24,1015.2,8,9999.9,0,13.9,18,10.3,24,15.9,28,37.8,25.3,99.99,999.9,11000,is
40300,99999,20170411,40,24,35.3,24,998.5,7,9999.9,0,7,24,11.7,24,22,32.1,43.7,34.2,99.99,999.9,110000,is
40300,99999,20170412,35.4,24,24.2,24,1013.6,8,9999.9,0,14.4,22,9.6,24,14,999.9,41.5,33.1, 0.00I,999.9,0,is
40300,99999,20170413,35.3,24,21.1,24,1007,8,9999.9,0,16.3,17,8.2,24,12,999.9,41.4,31.3,99.99,999.9,1000,is
40300,99999,20170414,32.3,24,18.3,24,1010.3,8,9999.9,0,14.4,20,11.6,24,19,28,38.5,27.7,99.99,999.9,1000,is
40300,99999,20170415,33.2,24,15.7,24,1020.9,8,9999.9,0,16.6,18,11.2,24,20,26,40.6,  28.4*, 0.00I,999.9,0,is
40300,99999,20170416,34.2,24,13.1,24,1025.4,8,9999.9,0,40.4,8,8.9,24,13,999.9,43.3,25.9, 0.00I,999.9,0,is
40300,99999,20170417,35.5,24,27,24,1019.2,8,9999.9,0,6.5,22,20.1,24,31.1,44.1,42.6,31.3,99.99,999.9,11010,is
40300,99999,20170418,39.8,24,33.2,24,1019.4,7,9999.9,0,8.8,22,9.1,24,14,999.9,43.9,34.3,99.99,999.9,10000,is
40300,99999,20170419,39,24,32,24,1010.4,5,9999.9,0,6.5,24,20.9,24,34,48,43.7,33.4,99.99,999.9,11000,is
40300,99999,20170420,37,24,28.4,24,1014.2,8,9999.9,0,7.1,24,18,24,34,44.1,41.2,31.8,99.99,999.9,11100,is
40300,99999,20170421,36.7,24,27.4,24,1027.5,8,9999.9,0,12.6,21,6.1,24,9.9,999.9,42.8,30.7,99.99,999.9,1000,is
40300,99999,20170422,37.6,24,28.3,24,1027.3,7,9999.9,0,8.7,24,8.2,24,15,999.9,41.7,32.7,99.99,999.9,11000,is
40300,99999,20170423,33.3,24,19.9,24,1026.8,8,9999.9,0,18.4,23,8.3,24,13,999.9,39.4,  28.4*,99.99,999.9,1000,is
40300,99999,20170424,30.3,24,11.1,24,1036.3,8,9999.9,0,39.4,9,7.4,24,13,999.9,37.2,21.9, 0.00I,999.9,0,is
40300,99999,20170425,38,24,31.6,24,1029.7,8,9999.9,0,10.3,24,6.6,24,12,17.1,   43.2*,29.8,99.99,999.9,10000,is
40300,99999,20170426,45,24,38.6,24,1020.8,8,9999.9,0,7.9,24,9.5,24,14,999.9,50.2,  41.0*,99.99,999.9,10000,is
40300,99999,20170427,41.9,24,35.9,24,1010.3,7,9999.9,0,7.6,24,11.3,24,24.1,28.9,49.3,32.7,99.99,999.9,11000,is
40300,99999,20170428,38.8,24,34.1,24,991.1,8,9999.9,0,5.9,24,13.8,24,26,35.9,45.5,  32.0*,99.99,999.9,11000,is
40300,99999,20170429,40,24,31.6,24,997.1,8,9999.9,0,8.5,24,12.3,24,18.1,29.9,47.3,32.2,99.99,0.8,11000,is
40300,99999,20170430,41.7,24,35,24,1001.8,8,9999.9,0,9.4,24,7.4,24,13,999.9,48,34.5,99.99,999.9,10000,is
40300,99999,20170501,45.9,24,38.8,24,1004.5,7,9999.9,0,6.3,24,16.4,24,42.7,66,   48.2*,43.9,99.99,999.9,10000,is
