Streams,Country,weather
8615899,ar,Fog
19685192,be,Fog
1909915,bo,Fog
77627547,ca,Fog
35275862,ch,Fog
109270441,cl,Fog
106016606,co,Fog
52439874,cr,Fog
5819532,cz,Fog
263314705,de,Fog
192523234,dk,Fog
2579608,ee,Fog
50712055,es,Fog
80390538,fi,Fog
19043966,fr,Fog
253250899,gb,Fog
927699,gr,Fog
9203178,gt,Fog
447780,hk,Fog
7383566,hn,Fog
6703516,hu,Fog
30797313,id,Fog
21758970,ie,Fog
2748149,is,Fog
138219403,it,Fog
5139659,lt,Fog
657988,lu,Fog
3836743,lv,Fog
9503388,mx,Fog
487381402,nl,Fog
170691820,no,Fog
29305800,nz,Fog
229288,pa,Fog
3342077,pe,Fog
33671002,pl,Fog
19855099,pt,Fog
2150173,py,Fog
1832313,sk,Fog
143850,sv,Fog
3198663,tr,Fog
3431329,tw,Fog
1647580863,us,Fog
12576966,uy,Fog
0,au,Fog
0,at,Fog
0,br,Fog
0,do,Fog
0,ec,Fog
0,jp,Fog
0,my,Fog
0,ph,Fog
0,se,Fog
0,sg,Fog
0,ar,Hail
0,at,Hail
0,au,Hail
5525929,be,Hail
0,bo,Hail
0,ca,Hail
0,ch,Hail
0,cl,Hail
4143950,co,Hail
522546,cr,Hail
513462,cz,Hail
7123472,de,Hail
2345896,dk,Hail
0,do,Hail
397022,ec,Hail
301056,ee,Hail
5628234,es,Hail
0,fi,Hail
0,fr,Hail
0,gb,Hail
0,gr,Hail
0,gt,Hail
0,hk,Hail
194819,hn,Hail
547922,hu,Hail
0,id,Hail
2734276,ie,Hail
392723,is,Hail
6789746,it,Hail
0,jp,Hail
0,lt,Hail
52933,lu,Hail
181053,lv,Hail
0,mx,Hail
0,my,Hail
0,nl,Hail
2958880,no,Hail
4634048,nz,Hail
0,pa,Hail
0,pe,Hail
0,ph,Hail
0,pl,Hail
0,pt,Hail
367182,py,Hail
0,sg,Hail
222452,sk,Hail
0,sv,Hail
0,tr,Hail
0,tw,Hail
0,us,Hail
0,uy,Hail
0,br,Hail
0,se,Hail
479898818,ar,Rain
72761813,at,Rain
481123567,au,Rain
183749113,be,Rain
12473636,bo,Rain
740974383,ca,Rain
130918153,ch,Rain
129190031,cl,Rain
257311834,co,Rain
104661743,cr,Rain
53609783,cz,Rain
1856389469,de,Rain
528338808,dk,Rain
37903930,do,Rain
58333224,ec,Rain
11427938,ee,Rain
388158638,es,Rain
426342337,fi,Rain
666558532,fr,Rain
2569783494,gb,Rain
11257520,gr,Rain
39317554,gt,Rain
63489324,hk,Rain
17955481,hn,Rain
34221732,hu,Rain
362633703,id,Rain
300020315,ie,Rain
36920105,is,Rain
328705500,it,Rain
73527697,jp,Rain
17243194,lt,Rain
2870409,lu,Rain
18426893,lv,Rain
527947600,mx,Rain
222250312,my,Rain
1272374653,nl,Rain
676595953,no,Rain
273303595,nz,Rain
41376014,pa,Rain
64790978,pe,Rain
680798472,ph,Rain
220844085,pl,Rain
58433547,pt,Rain
36119968,py,Rain
273176834,sg,Rain
5747724,sk,Rain
18421537,sv,Rain
160427618,tr,Rain
110053412,tw,Rain
1467772924,us,Rain
37813101,uy,Rain
0,br,Rain
0,se,Rain
4084388,at,Snow
18593506,be,Snow
287261017,ca,Snow
30556396,ch,Snow
9214965,cz,Snow
239566121,de,Snow
74816793,dk,Snow
6590168,ee,Snow
6356384,es,Snow
99571855,fi,Snow
18163134,fr,Snow
72503870,gb,Snow
321323,gr,Snow
4643701,hu,Snow
1739969,id,Snow
11478508,ie,Snow
10790815,is,Snow
1343875,jp,Snow
4415154,lt,Snow
374355,lu,Snow
5779466,lv,Snow
91176902,nl,Snow
234663960,no,Snow
54016841,pl,Snow
1936898,sk,Snow
13420471,tr,Snow
0,ar,Snow
0,au,Snow
0,bo,Snow
0,br,Snow
0,cl,Snow
0,hk,Snow
0,co,Snow
0,cr,Snow
0,do,Snow
0,ec,Snow
0,gt,Snow
0,hn,Snow
0,it,Snow
0,mx,Snow
0,my,Snow
0,nz,Snow
0,pa,Snow
0,pe,Snow
0,ph,Snow
0,pt,Snow
0,py,Snow
0,se,Snow
0,sg,Snow
0,sv,Snow
0,tw,Snow
0,us,Snow
0,uy,Snow
1090375592,ar,Sun
109272973,at,Sun
1363292550,au,Sun
102423996,be,Sun
49918921,bo,Sun
3246489403,br,Sun
623462297,ca,Sun
87387331,ch,Sun
1021478507,cl,Sun
173141051,co,Sun
70377532,cr,Sun
48632113,cz,Sun
1148819929,de,Sun
186763690,dk,Sun
44150460,do,Sun
115538743,ec,Sun
6071287,ee,Sun
1722901603,es,Sun
198457016,fi,Sun
787918341,fr,Sun
1242737684,gb,Sun
34569564,gr,Sun
44361979,gt,Sun
71825882,hk,Sun
30932280,hn,Sun
46120215,hu,Sun
318461874,id,Sun
66888407,ie,Sun
14655847,is,Sun
797297397,it,Sun
75193016,jp,Sun
7972806,lt,Sun
2830426,lu,Sun
9126787,lv,Sun
2754619309,mx,Sun
75978740,my,Sun
383078179,nl,Sun
372124446,no,Sun
151228529,nz,Sun
33582509,pa,Sun
523331245,pe,Sun
1033972925,ph,Sun
130888681,pl,Sun
166656276,pt,Sun
64945912,py,Sun
1942768996,se,Sun
116662577,sg,Sun
27907217,sk,Sun
34460760,sv,Sun
290111022,tr,Sun
111342220,tw,Sun
9713269860,us,Sun
63801590,uy,Sun
133530611,ar,Thunder
13461801,be,Thunder
9428532,bo,Thunder
139534590,ca,Thunder
15666672,ch,Thunder
89809780,co,Thunder
39836058,cr,Thunder
4999446,cz,Thunder
176461541,de,Thunder
9898341,dk,Thunder
21801642,do,Thunder
23629185,ec,Thunder
317033,ee,Thunder
92963341,es,Thunder
20756939,gb,Thunder
3607974,gr,Thunder
12919748,gt,Thunder
16333490,hk,Thunder
17734984,hn,Thunder
8323857,hu,Thunder
95526756,id,Thunder
4967707,ie,Thunder
357693,is,Thunder
85890835,it,Thunder
3697989,jp,Thunder
1089076,lt,Thunder
570124,lu,Thunder
720813,lv,Thunder
229665837,mx,Thunder
215789302,my,Thunder
116213631,nl,Thunder
3389179,no,Thunder
10776162,nz,Thunder
30279646,pa,Thunder
159355157,ph,Thunder
21351880,pl,Thunder
6781477,pt,Thunder
28905374,py,Thunder
184950382,sg,Thunder
982925,sk,Thunder
11713352,sv,Thunder
27155589,tr,Thunder
7034000,tw,Thunder
66948503,us,Thunder
14602340,uy,Thunder
0,at,Thunder
0,au,Thunder
0,br,Thunder
0,cl,Thunder
0,fi,Thunder
0,fr,Thunder
0,pe,Thunder
0,se,Thunder
0,ar,Tornado
0,at,Tornado
0,au,Tornado
0,be,Tornado
0,bo,Tornado
0,ca,Tornado
0,ch,Tornado
0,cl,Tornado
0,co,Tornado
0,cr,Tornado
0,cz,Tornado
0,de,Tornado
0,dk,Tornado
0,do,Tornado
0,ec,Tornado
0,ee,Tornado
0,es,Tornado
0,fi,Tornado
0,fr,Tornado
0,gb,Tornado
0,gr,Tornado
0,gt,Tornado
0,hk,Tornado
346638,hn,Tornado
0,hu,Tornado
0,id,Tornado
0,ie,Tornado
0,is,Tornado
0,it,Tornado
0,jp,Tornado
0,lt,Tornado
0,lu,Tornado
0,lv,Tornado
0,mx,Tornado
0,my,Tornado
0,nl,Tornado
0,no,Tornado
0,nz,Tornado
0,pa,Tornado
0,pe,Tornado
0,ph,Tornado
0,pl,Tornado
0,pt,Tornado
0,py,Tornado
2364322,sg,Tornado
0,sk,Tornado
0,sv,Tornado
0,tr,Tornado
0,tw,Tornado
0,us,Tornado
0,uy,Tornado
0,br,Tornado
0,se,Tornado